population,year,SST_mean,SST_std,SST_anomaly_mean,SST_anomaly_std,ice_extent_min,ice_min_doy,ice_extent_max,ice_max_doy
northwest atlantic,1982,3.793,2.513,-0.5011,0.2971,0.02887,250,1.736,70
northwest atlantic,1983,3.957,2.461,-0.3354,0.2357,0.05301,267,1.936,55
northwest atlantic,1984,3.819,2.681,-0.4664,0.334,0.01219,258,1.963,36
northwest atlantic,1985,3.959,2.742,-0.3317,0.2594,0.01177,273,1.756,71
northwest atlantic,1986,3.949,2.583,-0.3406,0.328,0.02721,268,1.616,80
northwest atlantic,1987,4.118,2.633,-0.1719,0.1582,0.02136,265,1.677,41
northwest atlantic,1988,4.277,2.597,-0.001904,0.2078,0.01038,272,1.632,46
northwest atlantic,1989,3.964,2.567,-0.332,0.1867,0.01655,260,1.753,83
northwest atlantic,1990,3.938,2.694,-0.357,0.263,0.01689,259,1.958,71
northwest atlantic,1991,3.869,2.515,-0.4266,0.3211,0.01392,271,1.911,61
northwest atlantic,1992,3.756,2.367,-0.5363,0.3565,0.02804,258,1.924,59
northwest atlantic,1993,3.954,2.623,-0.3415,0.2533,0.02585,255,2.056,41
northwest atlantic,1994,4.077,2.825,-0.2157,0.2814,0.018,250,1.868,56
northwest atlantic,1995,4.148,2.512,-0.1424,0.2205,0.01721,262,1.765,70
northwest atlantic,1996,4.256,2.569,-0.02414,0.2749,0.05568,257,1.595,43
northwest atlantic,1997,4.31,2.62,0.02267,0.283,0.02025,262,1.737,70
northwest atlantic,1998,4.631,2.757,0.3489,0.3006,0.01005,267,1.509,59
northwest atlantic,1999,4.543,2.708,0.2605,0.2782,0.01822,277,1.57,61
northwest atlantic,2000,4.553,2.805,0.2782,0.3127,0.01299,261,1.551,82
northwest atlantic,2001,4.647,2.795,0.3657,0.3084,0.0127,264,1.507,55
northwest atlantic,2002,4.413,2.592,0.1276,0.3067,0.01231,276,1.516,60
northwest atlantic,2003,4.891,2.962,0.6114,0.4629,0.0172,260,1.514,82
northwest atlantic,2004,4.551,2.685,0.2763,0.3583,0.01459,266,1.393,84
northwest atlantic,2005,4.837,2.668,0.5531,0.2794,0.01653,252,1.563,61
northwest atlantic,2006,5.031,2.768,0.7484,0.2253,0.03647,257,1.49,59
northwest atlantic,2007,4.731,2.874,0.4469,0.3855,0.02007,255,1.59,77
northwest atlantic,2008,4.812,3.009,0.5366,0.5057,0.05076,288,1.924,79
northwest atlantic,2009,4.683,2.876,0.3987,0.5411,0.04908,254,1.671,77
northwest atlantic,2010,5.271,2.975,0.9923,0.5325,0.01624,257,1.452,92
northwest atlantic,2011,4.88,2.661,0.5967,0.4144,0.01908,244,1.522,91
northwest atlantic,2012,5.369,3.32,1.101,0.7465,0.007838,263,1.9,78
